00000	000	0	100	4	4	0
00001	000	0	101	5	5	0
00010	001	1	100	4	5	0
00011	001	1	101	5	6	0
00100	010	2	100	4	6	0
00101	010	2	101	5	7	0
00110	011	3	100	4	7	0
00111	011	3	101	5	8	1
01000	000	0	110	6	6	0
01001	000	0	111	7	7	0
01010	001	1	110	6	7	0
01011	001	1	111	7	8	1
01100	010	2	110	6	8	1
01101	010	2	111	7	9	1
01110	011	3	110	6	9	1
01111	011	3	111	7	10	1
10000	100	4	100	4	8	1
10001	100	4	101	5	9	1
10010	101	5	100	4	9	1
10011	101	5	101	5	10	1
10100	110	6	100	4	10	1
10101	110	6	101	5	11	1
10110	111	7	100	4	11	d
10111	111	7	101	5	12	d
11000	100	4	110	6	10	1
11001	100	4	111	7	11	1
11010	101	5	110	6	11	1
11011	101	5	111	7	12	0
11100	110	6	110	6	12	0
11101	110	6	111	7	13	0
11110	111	7	110	6	13	d
11111	111	7	111	7	14	d
